Dog	Cat	Horse	Cow
Pig	Sheep	Goat	Chicken
Duck	Turkey	Deer	Moose
Bear	Lion	Tiger	Elephant
Giraffe	Zebra	Rhino	Hippo
Monkey	Gorilla	Chimpanzee	Koala
Kangaroo	Wallaby	Platypus	Crocodile
Alligator	Snake	Turtle	Frog
Toad	Fish	Whale	Dolphin
Shark	Octopus	Crab	Lobster
Shrimp	Jellyfish	Starfish	Bee
Butterfly	Ant	Spider	Scorpion
Mosquito	Fly	Grasshopper	Ladybug
Beetle	Worm	Snail	Slug
Bat	Fox	Wolf	Coyote
Raccoon	Skunk	Squirrel	Chipmunk
Hedgehog	Rabbit	Hare	Otter
Beaver	Mouse	Rat	Hamster
Guinea pig	Ferret	Parrot	Cockatoo
Macaw	Canary	Finch	Pigeon
Seagull	Pelican	Swan	Goose
Duckling	Penguin	Ostrich	Emu
Llama	Camel	Bison	Elk
